0,0.13416
1,0.1037
2,0.0756
3,0.0784
4,0.0729
5,0.07252
6,0.05534
7,0.05948
8,0.05652
9,0.04802
10,0.04336
11,0.04536
12,0.04984
13,0.0497
14,0.04118
15,0.04444
16,0.0573
17,0.05768
18,0.04894
19,0.04358
20,0.0379
21,0.06324
22,0.04984
23,0.04404
24,0.05122
25,0.05194
26,0.06088
27,0.04662
28,0.05018
29,0.04588
30,0.05046
31,0.03588
32,0.06416
33,0.06646
34,0.03682
35,0.044
36,0.04386
37,0.04972
38,0.0659
39,0.04926
40,0.04722
41,0.03838
42,0.04498
43,0.04106
44,0.0417
45,0.03816
46,0.04844
47,0.04514
48,0.03604
49,0.0425
50,0.04412
51,0.0332
52,0.0346
53,0.04566
54,0.03916
55,0.04454
56,0.04114
57,0.05382
58,0.0424
59,0.04154
60,0.03672
61,0.04094
62,0.03618
63,0.03506
64,0.0411
65,0.0321
66,0.04142
67,0.04712
68,0.0345
69,0.0419
70,0.03548
71,0.03434
72,0.0393
73,0.03676
74,0.0368
75,0.0418
76,0.04542
77,0.031
78,0.04208
79,0.03834
80,0.0331
81,0.02712
82,0.0326
83,0.03824
84,0.02956
85,0.03218
86,0.0293
87,0.0353
88,0.03386
89,0.03372
90,0.03606
91,0.03178
92,0.03356
93,0.02838
94,0.02782
95,0.02818
96,0.0305
97,0.0281
98,0.02792
99,0.02886
