Epochs,Accuracy
0,0.17378
0,0.24564
1,0.13332
1,0.19494
2,0.11292
2,0.17498
3,0.09564
3,0.1535
4,0.0808
4,0.13308
5,0.07004
5,0.11466
6,0.05998
6,0.11208
7,0.05178
7,0.12318
8,0.04478
8,0.10352
9,0.04158
9,0.10204
10,0.04066
10,0.08668
11,0.03884
11,0.10064
12,0.03534
12,0.09654
13,0.03438
13,0.0968
14,0.03502
14,0.0944
15,0.03338
15,0.09612
16,0.032
16,0.08556
17,0.03102
17,0.08292
18,0.02876
18,0.08584
19,0.0297
19,0.08438
