Epochs,Accuracy
0,0.12984
0,0.17052
1,0.09142
1,0.1469
2,0.0679
2,0.11978
3,0.05228
3,0.11468
4,0.04146
4,0.09086
5,0.0377
5,0.0905
6,0.03312
6,0.08842
7,0.03068
7,0.0793
8,0.0335
8,0.07138
9,0.0311
9,0.07052
10,0.02834
10,0.07198
11,0.02896
11,0.07558
12,0.02702
12,0.07972
13,0.02286
13,0.06728
14,0.02366
14,0.0731
15,0.02236
15,0.0754
16,0.02282
16,0.06448
17,0.0226
17,0.06414
18,0.01992
18,0.06262
19,0.01922
19,0.06272
