Epochs,Accuracy
0,0.1736
0,0.22318
1,0.09572
1,0.15576
2,0.0622
2,0.11902
3,0.0589
3,0.10834
4,0.04138
4,0.09202
5,0.0525
5,0.11684
6,0.03526
6,0.0769
7,0.03518
7,0.07096
8,0.03068
8,0.0714
9,0.0321
9,0.06882
10,0.03528
10,0.06682
11,0.0245
11,0.0633
12,0.02614
12,0.06648
13,0.02606
13,0.06524
14,0.02194
14,0.05662
15,0.0249
15,0.07026
16,0.02164
16,0.0586
17,0.01996
17,0.05818
18,0.01912
18,0.05482
19,0.01774
19,0.05118
