Epochs,Accuracy
0,0.22882
0,0.28262
1,0.17342
1,0.21792
2,0.16348
2,0.18866
3,0.13396
3,0.17324
4,0.1192
4,0.1614
5,0.10798
5,0.1391
6,0.08976
6,0.13106
7,0.0854
7,0.12982
8,0.07402
8,0.12134
9,0.06544
9,0.11868
10,0.05484
10,0.10548
11,0.0547
11,0.10454
12,0.05066
12,0.09778
13,0.0489
13,0.10156
14,0.04452
14,0.0955
15,0.0455
15,0.08542
16,0.0404
16,0.09172
17,0.04344
17,0.08758
18,0.04054
18,0.0877
19,0.04002
19,0.0884
