Epochs,Loss
0,0.8707879185676575
1,0.7903733253479004
2,0.8276058435440063
3,0.7581683397293091
4,0.7480287551879883
5,0.7420870065689087
6,0.7216469645500183
7,0.7108905911445618
8,0.7443225979804993
9,0.708541214466095
10,0.6763119101524353
11,0.7162113189697266
12,0.7081013917922974
13,0.720758855342865
14,0.6860588192939758
15,0.6920038461685181
16,0.6972864270210266
17,0.7023863792419434
18,0.7006344795227051
19,0.6774462461471558
