Epochs,Accuracy
0,0.17802
0,0.24124
1,0.13594
1,0.20166
2,0.10932
2,0.17052
3,0.0949
3,0.13466
4,0.07232
4,0.11142
5,0.06008
5,0.11496
6,0.05002
6,0.12252
7,0.04046
7,0.11634
8,0.05598
8,0.1198
9,0.0368
9,0.09516
10,0.03716
10,0.10138
11,0.0358
11,0.0995
12,0.03162
12,0.09102
13,0.03064
13,0.0978
14,0.03206
14,0.09258
15,0.0334
15,0.09324
16,0.02974
16,0.09286
17,0.03056
17,0.08948
18,0.02758
18,0.092
19,0.0275
19,0.08614
