Epochs,Accuracy
0,0.2411
0,0.28364
1,0.21698
1,0.24436
2,0.18776
2,0.21338
3,0.16846
3,0.20784
4,0.14366
4,0.18016
5,0.12878
5,0.16584
6,0.1227
6,0.1591
7,0.11414
7,0.1496
8,0.10442
8,0.1429
9,0.09678
9,0.14004
10,0.09856
10,0.13508
11,0.08904
11,0.12736
12,0.08368
12,0.12482
13,0.08298
13,0.12148
14,0.07776
14,0.11472
15,0.07572
15,0.1219
16,0.07442
16,0.12086
17,0.07114
17,0.11398
18,0.07212
18,0.11302
19,0.07126
19,0.11504
